Client,KCO2600 - Kent Website Design,,,,
Order,Activity / Decision,D,A,C,I
,Client Discovery,Name,Name,Name,Name
1,Kickoff project,,,,
2,Develop decision chart (DACI),,Johnnie,Leandra,
3,Review / approve Website Style Guide,,Johnnie,,COE
3,Review / approve Front-end Module Designs,,Johnnie,,
3,"Review / approve Front-end Designs for Custom Content Object Types (e.g., news, case studies, events)",,Johnnie,,
4,Review discovery Discussion Guides,,Johnnie,,COE
5,Coordinate content generation discovery sessions,Leandra,,,
6,Participate in discovery session - 100 year timeline,,Johnnie,"Rich, Tiffany",
6,Particpate in discovery sessions (Solutions & Brands) ,,Johnnie,Full team ,
6,Participate in discovery session - Pet Care,,Johnnie,"Marcello, KB, Charles",
6,Participate in discovery session - Food & Hydration,,Johnnie,"Jane, Adriene, Jeff, KB",
6,Participate in discovery session - GPC,,Johnnie,Leandra,"Jimmy, Brad"
6,Participate in discovery session - KENT Nutrition ,,Johnnie,Charles,Jimmy
7,Review / approve detailed Content Outlines (Our Brands) ,,Johnnie,Full team ,
7,Review / approve detailed Content Outlines (Pet Care) ,,Johnnie,"Marcello, KB, Charles",
7,Review / approve detailed Content Outlines (Food & Hydration) ,,Johnnie,"Jane, Adriene, Jeff, KB",
7,Review / approve detailed Content Outlines (KENT Feeds),,Johnnie,Charles,
7,Review / approve detailed Content Outlines (GPC),,Johnnie,Leandra,
7,Review / approve detailed Content Outlines (solutions),,Johnnie,Full team ,
7,Review / approve detailed Content Outline (100 Year Timeline) ,,Johnnie,"Rich, Tiffany",
8,Review / approve detailed Wireframes (100 Year Timeline) ,,Johnnie,"Rich, Tiffany",COE
8,Review / approve detailed Wireframes (Who We Are) ,,Johnnie,,COE
8,Review / approve detailed  Wireframes (Brands) ,,Johnnie,Full team ,COE
8,Review / approve detailed Wireframes (Sustainability),,Johnnie,,COE
8,Review / approve detailed Wireframes (Solutions / Innovation) ,,Johnnie,Full team ,COE
8,Review / approve detailed Wireframes (Careers),,Johnnie,,COE
8,Review / approve detailed Wireframes (News),,Johnnie,,COE
8,Review / approve detailed Wireframes (Sample Category Page),,Johnnie,,COE
8,Facilitate review of copy (Brands) ,,Johnnie,Full team ,
8,Facilitate review of copy (Pet Care) ,,Johnnie,"Marcello, KB, Charles",
8,Facilitate review of copy (Food & Hydration) ,,Johnnie,"Jane, Adriene, Jeff, KB",
8,Facilitate review of copy (KENT Feeds),,Johnnie,Charles,
8,Facilitate review of copy (GPC),,Johnnie,Leandra,
8,Facilitate review of copy (Innovation) ,,Johnnie,Full team ,
8,Facilitate review of copy (100 Year Timeline) ,,Johnnie,"Rich, Tiffany",
,,,,,
,,,,,
LEGEND,,,,,
D river,"Responsible for collecting inputs about the decision to be made, facilitating discussion, maintaining decision timeline, and communicating final decisions to related parties; ""project manager""",,,,
A pprover,Approves or disapproves of decisions and recommendations from team; Final decision maker,,,,
C onsulted/Contributor,SMEs who inform and influence the decision making process using their opinions and expert knowledge,,,,
I  nformed,Ancillary team members who may be impacted by the decision made and should be informed of the ultimate decision,,,,
